,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,traveltime,studytime,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Aalc
0,F,18,U,GT3,A,4,4,at_home,teacher,2,2,False,False,True,True,False,False,4,3,4,1,1,3,6,5,6,6,1.0
1,F,17,U,GT3,T,1,1,at_home,other,1,2,False,False,False,True,True,False,5,3,3,1,1,3,4,5,5,6,1.0
2,F,15,U,LE3,T,1,1,at_home,other,1,2,True,False,True,True,True,False,4,3,2,2,3,3,10,7,8,10,2.2857142857142856
3,F,15,U,GT3,T,4,2,health,services,1,3,True,True,True,True,True,True,3,2,2,1,1,5,2,15,14,15,1.0
4,F,16,U,GT3,T,3,3,other,other,1,2,True,False,True,True,False,False,4,3,2,1,2,5,4,6,10,10,1.2857142857142858
5,M,16,U,LE3,T,4,3,services,other,1,2,True,True,True,True,True,False,5,4,2,1,2,5,10,15,15,15,1.2857142857142858
6,M,16,U,LE3,T,2,2,other,other,1,2,False,False,True,True,True,False,4,4,4,1,1,3,0,12,12,11,1.0
7,F,17,U,GT3,A,4,4,other,teacher,2,2,False,False,True,True,False,False,4,1,4,1,1,1,6,6,5,6,1.0
8,M,15,U,LE3,A,3,2,services,other,1,2,True,False,True,True,True,False,4,2,2,1,1,1,0,16,18,19,1.0
9,M,15,U,GT3,T,3,4,other,other,1,2,True,True,True,True,True,False,5,5,1,1,1,5,0,14,15,15,1.0
10,F,15,U,GT3,T,4,4,teacher,health,1,2,True,False,True,True,True,False,3,3,3,1,2,2,0,10,8,9,1.2857142857142858
11,F,15,U,GT3,T,2,1,services,other,3,3,False,True,True,True,True,False,5,2,2,1,1,4,4,10,12,12,1.0
12,M,15,U,LE3,T,4,4,health,services,1,1,True,True,True,True,True,False,4,3,3,1,3,5,2,14,14,14,1.5714285714285714
13,M,15,U,GT3,T,4,3,teacher,other,2,2,True,False,True,True,True,False,5,4,3,1,2,3,2,10,10,11,1.2857142857142858
14,M,15,U,GT3,A,2,2,other,other,1,3,False,False,True,True,True,True,4,5,2,1,1,3,0,14,16,16,1.0
15,F,16,U,GT3,T,4,4,health,other,1,1,False,False,True,True,True,False,4,4,4,1,2,2,4,14,14,14,1.2857142857142858
16,F,16,U,GT3,T,4,4,services,services,1,3,True,True,True,True,True,False,3,2,3,1,2,2,6,13,14,14,1.2857142857142858
17,F,16,U,GT3,T,3,3,other,other,3,2,False,True,True,True,False,False,5,3,2,1,1,4,4,8,10,10,1.0
18,M,17,U,GT3,T,3,2,services,services,1,1,False,True,True,True,True,False,5,5,5,2,4,5,16,6,5,5,2.5714285714285716
19,M,16,U,LE3,T,4,3,health,other,1,1,True,True,True,True,True,False,3,1,3,1,3,5,4,8,10,10,1.5714285714285714
20,M,15,U,GT3,T,4,3,teacher,other,1,2,False,False,True,True,True,False,4,4,1,1,1,1,0,13,14,15,1.0
21,M,15,U,GT3,T,4,4,health,health,1,1,True,False,True,True,True,False,5,4,2,1,1,5,0,12,15,15,1.0
22,M,16,U,LE3,T,4,2,teacher,other,1,2,False,True,True,True,True,False,4,5,1,1,3,5,2,15,15,16,1.5714285714285714
23,M,16,U,LE3,T,2,2,other,other,2,2,False,True,True,True,True,False,5,4,4,2,4,5,0,13,13,12,2.5714285714285716
24,F,15,R,GT3,T,2,4,services,health,1,3,True,True,True,True,True,False,4,3,2,1,1,5,2,10,9,8,1.0
25,F,16,U,GT3,T,2,2,services,services,1,1,True,False,False,True,True,False,1,2,2,1,3,5,14,6,9,8,1.5714285714285714
26,M,15,U,GT3,T,2,2,other,other,1,1,True,False,True,True,True,False,4,2,2,1,2,5,2,12,12,11,1.2857142857142858
27,M,15,U,GT3,T,4,2,health,services,1,1,True,False,True,True,True,False,2,2,4,2,4,1,4,15,16,15,2.5714285714285716
28,M,16,U,LE3,A,3,4,services,other,1,2,False,True,True,True,True,False,5,3,3,1,1,5,4,11,11,11,1.0
29,M,16,U,GT3,T,4,4,teacher,teacher,1,2,True,True,True,True,True,True,4,4,5,5,5,5,16,10,12,11,5.0
30,M,15,U,GT3,T,4,4,health,services,1,2,True,False,False,True,True,False,5,4,2,3,4,5,0,9,11,12,3.2857142857142856
31,M,15,U,GT3,T,4,4,services,services,2,2,False,True,True,True,True,False,4,3,1,1,1,5,0,17,16,17,1.0
32,M,15,R,GT3,T,4,3,teacher,at_home,1,2,False,True,True,True,True,True,4,5,2,1,1,5,0,17,16,16,1.0
33,M,15,U,LE3,T,3,3,other,other,1,2,False,True,False,True,True,False,5,3,2,1,1,2,0,8,10,12,1.0
34,M,16,U,GT3,T,3,2,other,other,1,1,True,False,False,True,True,False,5,4,3,1,1,5,0,12,14,15,1.0
35,F,15,U,GT3,T,2,3,other,other,2,1,False,True,True,True,False,False,3,5,1,1,1,5,0,8,7,6,1.0
36,M,15,U,LE3,T,4,3,teacher,services,1,3,False,True,True,True,True,False,5,4,3,1,1,4,2,15,16,18,1.0
37,M,16,R,GT3,A,4,4,other,teacher,2,3,False,True,True,True,True,True,2,4,3,1,1,5,7,15,16,15,1.0
38,F,15,R,GT3,T,3,4,services,health,1,3,True,True,True,True,True,False,4,3,2,1,1,5,2,12,12,11,1.0
39,F,15,R,GT3,T,2,2,at_home,other,1,1,True,True,True,True,False,False,4,3,1,1,1,2,8,14,13,13,1.0
40,F,16,U,LE3,T,2,2,other,other,2,2,False,True,False,True,True,True,3,3,3,1,2,3,25,7,10,11,1.2857142857142858
41,M,15,U,LE3,T,4,4,teacher,other,1,1,False,False,False,True,True,True,5,4,3,2,4,5,8,12,12,12,2.5714285714285716
42,M,15,U,GT3,T,4,4,services,teacher,1,2,False,True,True,True,True,False,4,3,3,1,1,5,2,19,18,18,1.0
43,M,15,U,GT3,T,2,2,services,services,1,1,False,False,True,True,True,False,5,4,1,1,1,1,0,8,8,11,1.0
44,F,16,U,LE3,T,2,2,other,at_home,2,2,False,True,True,True,True,False,4,3,3,2,2,5,14,10,10,9,2.0
